sim rep samples_pop1 samples_pop2 read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2
69 3 50 50 10 0.00795 48.275196 0.96 48.19819 1
64 5 50 10 1 0.00789 17.719364 1 2.3521209 0
88 1 10 100 1 0.00653 2.3633842 0 36.32192 1
75 2 100 10 10 0.00793 97.05365 1 7.850098 0.4
74 2 100 10 5 0.0058 85.70822 0.99 7.0137925 0.1
47 5 100 10 5 0.01268 85.67762 1 6.665155 0.6
45 4 50 100 10 0.00976 47.51496 0.96 96.96181 1
84 4 10 10 10 0.00381 8.526003 0.9 8.414698 0.8
85 2 10 50 1 0.00566 2.383486 0 17.729172 1
86 2 10 50 5 0.00797 7.0121236 0.5 42.798275 1
82 5 10 10 1 0.00818 2.3538213 1 2.3547378 0.9
95 1 50 50 5 0.00571 42.5338 0.96 42.56427 0.92
46 5 100 10 1 0.01364 36.32583 1 2.2924314 0
26 4 100 100 5 0.01882 84.08153 0.98 84.18776 0.99
76 2 100 50 1 0.0073 36.135784 1 17.205194 0.82
44 5 50 100 5 0.01108 41.595737 0.96 85.48408 0.99
66 5 50 10 10 0.0069 48.51225 1 7.98264 0.6
83 5 10 10 5 0.00638 7.288069 0.8 7.2480884 1
77 2 100 50 5 0.00621 85.59362 0.97 42.02298 0.9
49 4 100 50 1 0.01114 36.060204 1 16.862656 0.96
53 3 100 100 5 0.01184 84.87938 0.99 84.98497 0.98
63 3 10 100 10 0.00962 7.9505587 0.6 97.06072 1
90 1 10 100 10 0.00637 8.067083 0.1 97.03815 1
65 5 50 10 5 0.00761 42.83133 1 6.999417 0.6
70 2 50 100 1 0.00817 17.002214 0.92 36.114296 1
54 3 100 100 10 0.01093 96.59861 1 96.73129 0.99
94 1 50 50 1 0.00579 17.419453 0.94 17.47588 0.98
96 1 50 50 10 0.00593 48.28149 0.92 48.234707 0.98
78 2 100 50 10 0.00705 96.99569 1 47.88645 0.94
48 5 100 10 10 0.01238 97.04277 1 7.5743895 0.9
