sim rep samples read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2 runtime runtime_full maf snps
36 4 50 50 0.02048 40.549915 1 40.87017 1 2 7 raw 100000
41 1 100 10 0.01925 77.35428 1 77.22755 1 4 21 raw 100000
40 1 100 5 0.01959 65.86051 0.99 65.83739 1 5 40 raw 100000
36 4 50 50 0.02048 48.33233 1 48.562504 1 2 7 filtered 100000
38 2 100 0.5 0.01826 19.410482 0.99 19.340324 1 5 72 filtered 100000
32 5 50 0.5 0.01969 6.534645 0.98 6.5983763 1 5 87 raw 100000
41 1 100 10 0.01925 95.82978 1 95.72395 1 5 21 filtered 100000
42 1 100 50 0.01917 81.18951 1 81.45817 0.98 3 20 raw 100000
40 1 100 5 0.01959 84.02049 0.99 83.74513 1 5 37 filtered 100000
31 5 50 0.1 0.01932 0.889132 0.98 0.8966425 0.98 4 103 raw 100000
39 2 100 1 0.01816 26.197052 0.99 26.10409 1 4 39 raw 100000
36 5 50 50 0.01873 40.651882 0.98 40.971584 1 2 7 raw 100000
32 5 50 0.5 0.01969 8.90081 1 8.919983 1 5 85 filtered 100000
31 5 50 0.1 0.01932 1.2299049 0.98 1.2284706 0.98 4 104 filtered 100000
36 5 50 50 0.01873 48.849113 0.98 48.75011 1 2 8 filtered 100000
42 1 100 50 0.01917 98.84808 1 99.47606 0.97 3 20 filtered 100000
39 2 100 1 0.01816 35.076164 0.98 35.15659 1 4 38 filtered 100000
41 2 100 10 0.02162 77.42901 1 77.89101 0.99 4 23 raw 100000
38 3 100 0.5 0.02115 13.696915 0.99 13.555342 1 6 75 raw 100000
40 2 100 5 0.02377 65.816475 1 65.732834 1 5 40 raw 100000
37 2 100 0.1 0.02223 2.0850363 1 2.096235 1 8 294 raw 100000
41 2 100 10 0.02162 95.70274 1 95.99399 0.99 4 22 filtered 100000
40 2 100 5 0.02377 83.867035 1 83.75429 1 5 36 filtered 100000
38 3 100 0.5 0.02115 19.254192 0.99 19.28224 1 5 73 filtered 100000
39 3 100 1 0.01991 26.093056 1 25.92893 1 4 39 raw 100000
42 2 100 50 0.01881 81.140755 1 80.09899 1 3 20 raw 100000
50 1 10 0.5 0.00956 1.0687356 0.7 1.0810156 0.9 1 3 raw 100000
49 1 10 0.1 0.01487 0.10234508 1 0.10502801 0.8 4 2 raw 100000
50 1 10 0.5 0.00956 1.0346467 0.7 1.0385938 0.8 1 2 filtered 100000
49 1 10 0.1 0.01487 0.096627705 1 0.09841078 0.9 1 2 filtered 100000
50 2 10 0.5 0.01023 1.0647007 0.7 1.0588202 0.8 0 3 raw 100000
49 2 10 0.1 0.01388 0.103591435 1 0.10305587 0.9 1 3 raw 100000
50 2 10 0.5 0.01023 1.0419655 0.9 1.0375711 0.9 1 2 filtered 100000
39 3 100 1 0.01991 35.092266 1 34.888626 1 4 38 filtered 100000
49 2 10 0.1 0.01388 0.09577749 1 0.097053826 0.9 1 3 filtered 100000
49 3 10 0.1 0.01038 0.10272135 1 0.10488457 0.5 1 2 raw 100000
50 3 10 0.5 0.01445 1.0696486 1 1.0747774 1 0 3 raw 100000
41 3 100 10 0.01832 78.03211 1 77.37437 1 5 21 raw 100000
49 3 10 0.1 0.01038 0.09646026 1 0.09786673 0.9 1 2 filtered 100000
50 3 10 0.5 0.01445 1.0213972 1 1.0391932 1 1 3 filtered 100000
42 2 100 50 0.01881 99.07792 1 98.61522 1 3 20 filtered 100000
23 1 500 10 0.11851 430.949 0.998 426.32516 1 21 683 filtered 100000
51 1 10 1 0.00948 2.3617578 1 2.3197742 1 3 1 raw 100000
40 3 100 5 0.01808 66.40157 0.99 65.968796 1 5 39 raw 100000
51 1 10 1 0.00948 2.3447237 1 2.3447976 1 0 1 filtered 100000
37 2 100 0.1 0.02223 3.2182078 1 3.226838 0.98 7 290 filtered 100000
